playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","154.2643","306.6832","null","1.2","1","1","null","null","34.8158","1.335","-0.335","46","323.0166","284.62","5.0217","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","124.8741","277.2929","null","2.6","2","2","null","null","22.296","3.89","-1.89","43","287.593","225.51","7.2286","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","114.0231","266.442","null","3.6","3","3","null","null","32.701","2.87","0.13","45","277.4971","241.4302","7.1092","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","98.8647","252.0487","null","6.2","4","1","null","null","10.2338","4.715","-0.715","41","271.6886","225.6353","5.7233","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","98.3586","251.5426","null","5.2","5","2","null","null","19.4961","6.365","-1.365","36","268.202","225.61","3.7824","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","91.133","243.5518","null","8.9","6","4","null","null","20.0906","6.84","-0.84","38","257.667","216.0371","7.0239","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","78.9032","232.0871","null","10.7","7","3","null","null","4.1725","11.495","-4.495","31","248.8767","217.9","3.7817","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","78.8219","232.0059","null","10.2","8","4","null","null","8.2258","10.495","-2.495","34","236.6575","221.9","3.2908","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","71.5114","223.9302","null","15.7","9","5","null","null","1.3765","15.305","-6.305","34","247.0789","204.7","8.3777","null",
"2543583","null","Devonta Freeman","RB","ATL","RB","ATL","70.6395","223.8234","null","19","10","5","null","null","1.4788","18.015","-8.015","28","236.9013","210.84","6.6353","null",
"2543509","null","Allen Robinson","WR","JAC","WR","JAC","70.5732","222.9921","null","11.7","11","6","null","null","1.9833","11.13","-0.13","34","239.8227","190.4","6.1493","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","70.5527","223.7367","null","9.8","12","6","null","null","7.3663","8.835","3.165","41","229.9016","205.8","4.7028","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","70.1448","218.4435","null","10.3","13","1","null","null","37.9522","13.055","-0.055","33","237.254","197.4202","4.9986","null",
"2540154","null","Keenan Allen","WR","SD","WR","SD","69.6965","222.1154","null","17.8","14","7","null","null","2.2701","16.295","-2.295","29","241.4141","203.6","8.3191","null",
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","67.7687","220.9526","null","null","15","7","null","null","9.4303","13.215","1.785","37","239.0013","194.65","9.2083","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","67.4834","219.9023","null","7.8","16","8","null","null","1.852","7.995","8.005","37","230.0043","180.21","5.5389","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","67.3694","219.7882","null","20.6","17","9","null","null","3.9883","19.535","-2.535","28","236.3878","206.74","5.9322","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","66.5988","347.7877","null","35.9","18","1","null","null","19.9455","28.04","-10.04","29","355.242","323.32","6.279","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","63.8935","216.3124","null","20.9","19","10","null","null","2.5091","23.365","-4.365","28","232.9644","197.298","8.1759","null",
